ODKAZ;KLUCOVE SLOVO;TOP;SKORE-18;SKORE-19;SKORE-20;SKORE-21;SKORE-22;SKORE-23
https://diatribe.org/type-1-diabetes-new-studies-vegan-and-moderate-carbohydrate-diets-type-1-diabetes;adding diabetes;diabetes mellitus;80;82;85;81;83;83
https://diatribe.org/type-1-diabetes-new-studies-vegan-and-moderate-carbohydrate-diets-type-1-diabetes;adding diabetes;type 1 diabetes;80;76;80;72;70;87
https://diatribe.org/type-1-diabetes-new-studies-vegan-and-moderate-carbohydrate-diets-type-1-diabetes;adding diabetes;type 2 diabetes;84;85;86;85;78;79
https://www.ahajournals.org/doi/abs/10.1161/circ.146.suppl_1.13268;based dietary;dietary guidelines;69;68;57;49;65;64
https://www.ahajournals.org/doi/abs/10.1161/circ.146.suppl_1.13268;based dietary;food based dietary guidelines;4;8;12;6;28;27
https://www.ahajournals.org/doi/abs/10.1161/circ.146.suppl_1.13268;based dietary;nutrition;85;84;80;85;89;89
https://www.prevailovercancer.com/blog/beans-cancer;beans legumes;are legumes beans;51;56;72;59;69;77
https://www.prevailovercancer.com/blog/beans-cancer;beans legumes;beans and legumes;61;61;60;59;64;69
https://www.prevailovercancer.com/blog/beans-cancer;beans legumes;what are beans;76;82;78;77;84;88
https://www.deseret.com/23878884/health-benefits-of-cheese/;benefits cheese;benefits of cheese;70;77;78;76;78;79
https://www.deseret.com/23878884/health-benefits-of-cheese/;benefits cheese;cottage cheese benefits;55;63;63;67;61;57
https://www.deseret.com/23878884/health-benefits-of-cheese/;benefits cheese;health benefits;90;85;90;88;90;87
https://www.theguardian.com/society/2023/nov/16/plant-based-swaps-may-cut-diabetes-and-heart-disease-risk-major-review-finds;benefits meat;benefits of meat;74;74;76;75;79;76
https://www.theguardian.com/society/2023/nov/16/plant-based-swaps-may-cut-diabetes-and-heart-disease-risk-major-review-finds;benefits meat;health benefits;90;85;90;88;90;87
https://www.theguardian.com/society/2023/nov/16/plant-based-swaps-may-cut-diabetes-and-heart-disease-risk-major-review-finds;benefits meat;meat health benefits;64;67;73;59;73;68
https://www.wcrf.org/diet-activity-and-cancer/risk-factors/meat-fish-dairy-and-cancer-risk/;cancer dairy;breast cancer;46;50;59;51;52;54
https://www.everydayhealth.com/prostate-cancer/drinking-milk-may-put-you-at-risk-for-prostate-cancer/;cancer dairy;breast cancer;46;50;59;51;52;54
https://www.wcrf.org/diet-activity-and-cancer/risk-factors/meat-fish-dairy-and-cancer-risk/;cancer dairy;breast cancer dairy;13;11;8;11;14;16
https://www.everydayhealth.com/prostate-cancer/drinking-milk-may-put-you-at-risk-for-prostate-cancer/;cancer dairy;breast cancer dairy;13;11;8;11;14;16
https://www.wcrf.org/diet-activity-and-cancer/risk-factors/meat-fish-dairy-and-cancer-risk/;cancer dairy;dairy and cancer;53;42;29;44;51;47
https://www.everydayhealth.com/prostate-cancer/drinking-milk-may-put-you-at-risk-for-prostate-cancer/;cancer dairy;dairy and cancer;53;42;29;44;51;47
https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/plant-power-to-lower-cancer-risk;cancer diet;cancer and diet;71;74;73;73;73;68
https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/plant-power-to-lower-cancer-risk;cancer diet;diet for cancer;85;70;78;84;81;81
https://www.mayoclinichealthsystem.org/hometown-health/speaking-of-health/plant-power-to-lower-cancer-risk;cancer diet;the cancer diet;71;66;65;61;63;75
